term,category,shape,n_words,canonical_ok,evaluated_n,evaluated_caught,evaluated_rate,synthetic_n,synthetic_caught,synthetic_rate,failing_operators
envelope encryption,security,phrase,2,yes,10,3,0.300,10,3,0.300,"consonant_swap, merge_words, split_word, swap_words, vowel_swap"
next-generation firewall,security,phrase,3,yes,10,3,0.300,10,3,0.300,"add_suffix, consonant_swap, drop_last, merge_words, respell, swap_words"
pass-the-ticket,security,phrase,3,yes,10,3,0.300,10,3,0.300,"add_suffix, consonant_swap, double_consonant, drop_filler, merge_words, swap_words"
OAuth,security,single_word,1,yes,10,4,0.400,10,4,0.400,"consonant_swap, drop_last"
hierarchical escalation,general,phrase,2,yes,10,4,0.400,10,4,0.400,"double_consonant, merge_words, swap_words, vowel_swap"
multifactor authentication,security,phrase,2,yes,10,4,0.400,10,4,0.400,"drop_last, merge_words, swap_words, vowel_swap"
server-side request forgery,security,phrase,4,yes,10,4,0.400,10,4,0.400,"drop_last, merge_words, split_word, swap_words"
zero trust network access,security,phrase,4,yes,10,4,0.400,10,4,0.400,"consonant_swap, double_consonant, merge_words, respell, split_word"
ICMP,networking,acronym,1,yes,12,7,0.583,10,5,0.500,"respell, vowel_swap"
MAC address table,networking,phrase,3,yes,11,5,0.455,10,5,0.500,"merge_words, spell_token, vowel_swap"
SNMP,networking,acronym,1,yes,10,6,0.600,8,4,0.500,consonant_swap
Wi-Fi,networking,phrase,2,yes,2,1,0.500,2,1,0.500,swap_words
certificate authority,security,phrase,2,yes,10,5,0.500,10,5,0.500,"drop_last, merge_words, swap_words, vowel_swap"
certificate chain,security,phrase,2,yes,10,5,0.500,10,5,0.500,"drop_last, swap_words, vowel_swap"
default gateway,networking,phrase,2,yes,10,5,0.500,10,5,0.500,"merge_words, split_word, swap_words"
digital certificate,security,phrase,2,yes,10,5,0.500,10,5,0.500,"double_consonant, merge_words, split_word, swap_words"
kernel panic,software,phrase,2,yes,10,5,0.500,10,5,0.500,"drop_last, respell, swap_words"
living off the land,security,phrase,4,yes,10,5,0.500,10,5,0.500,"consonant_swap, double_consonant, drop_filler, drop_last"
major incident,general,phrase,2,yes,10,5,0.500,10,5,0.500,"merge_words, respell, split_word, swap_words"
major incident management,general,phrase,3,yes,10,5,0.500,10,5,0.500,"double_consonant, respell, vowel_swap"
patch,software,single_word,1,yes,10,5,0.500,10,5,0.500,"consonant_swap, drop_last"
Classless Inter-Domain Routing,networking,phrase,4,yes,10,6,0.600,10,6,0.600,"respell, split_word, swap_words"
OCSP,security,acronym,1,yes,12,8,0.667,10,6,0.600,vowel_swap
OSPF,networking,acronym,1,yes,12,8,0.667,10,6,0.600,vowel_swap
PCAP,networking,acronym,1,yes,12,6,0.500,10,6,0.600,"spelled, spelled_alt"
command injection,security,phrase,2,yes,10,6,0.600,10,6,0.600,"merge_words, respell, split_word, swap_words"
container image,software,phrase,2,yes,10,6,0.600,10,6,0.600,"merge_words, swap_words"
defense in depth,security,phrase,3,yes,10,6,0.600,10,6,0.600,"drop_filler, merge_words, split_word"
spear phishing,security,phrase,2,yes,10,6,0.600,10,6,0.600,"double_consonant, merge_words, swap_words"
two-factor authentication,security,phrase,3,yes,10,6,0.600,10,6,0.600,"drop_last, merge_words, swap_words"
virtual machine,software,phrase,2,yes,10,6,0.600,10,6,0.600,"merge_words, split_word, swap_words"
wireless access point,networking,phrase,3,yes,10,6,0.600,10,6,0.600,"merge_words, respell, split_word"
workload identity,security,phrase,2,yes,10,6,0.600,10,6,0.600,"merge_words, respell, split_word, swap_words"
CMDB,general,acronym,1,yes,10,7,0.700,8,5,0.625,
CVSS,security,acronym,1,yes,10,7,0.700,8,5,0.625,
SSRF,security,acronym,1,yes,10,7,0.700,8,5,0.625,
DIMM,hardware,acronym,1,yes,12,9,0.750,10,7,0.700,consonant_swap
EIGRP,networking,acronym,1,yes,12,7,0.583,10,7,0.700,"spelled, spelled_alt"
IP address,networking,phrase,2,yes,11,7,0.636,10,7,0.700,"merge_words, spell_token"
MAC address,networking,phrase,2,yes,11,7,0.636,10,7,0.700,"merge_words, spell_token, split_word"
UEBA,security,acronym,1,yes,12,8,0.667,10,7,0.700,"consonant_swap, spelled"
VLAN,networking,acronym,1,yes,12,9,0.750,10,7,0.700,consonant_swap
attack surface reduction,security,phrase,3,yes,10,7,0.700,10,7,0.700,"double_consonant, drop_last, split_word"
daemon,software,single_word,1,yes,10,7,0.700,10,7,0.700,drop_last
data encryption key,security,phrase,3,yes,10,7,0.700,10,7,0.700,"merge_words, swap_words"
denial-of-service attack,security,phrase,4,yes,10,7,0.700,10,7,0.700,"consonant_swap, merge_words, split_word"
dependency resolution,software,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, swap_words"
firewall rule,security,phrase,2,yes,10,7,0.700,10,7,0.700,swap_words
hard disk drive,hardware,phrase,3,yes,10,7,0.700,10,7,0.700,"double_consonant, drop_last, merge_words"
incident response plan,security,phrase,3,yes,10,7,0.700,10,7,0.700,"add_suffix, consonant_swap, split_word"
indicator of attack,security,phrase,3,yes,10,7,0.700,10,7,0.700,"merge_words, split_word"
